name,start,end,approve,disprove,unsure
William J. Clinton,08/07/1998 ,08/08/1998 ,63,31,4
William J. Clinton,07/29/1998 ,07/29/1998 ,64,31,3
William J. Clinton,07/13/1998 ,07/14/1998 ,63,31,6
William J. Clinton,07/07/1998 ,07/08/1998 ,61,33,5
William J. Clinton,06/22/1998 ,06/23/1998 ,60,33,6
William J. Clinton,06/05/1998 ,06/07/1998 ,60,33,5
William J. Clinton,05/08/1998 ,05/10/1998 ,64,30,4
William J. Clinton,04/17/1998 ,04/19/1998 ,63,30,5
William J. Clinton,04/01/1998 ,04/01/1998 ,67,28,4
William J. Clinton,03/20/1998 ,03/22/1998 ,65,28,5
William J. Clinton,03/16/1998 ,03/16/1998 ,66,29,4
William J. Clinton,03/06/1998 ,03/09/1998 ,63,31,6
William J. Clinton,02/20/1998 ,02/22/1998 ,65,29,5
William J. Clinton,02/13/1998 ,02/15/1998 ,66,29,3
William J. Clinton,01/30/1998 ,02/01/1998 ,68,28,3
William J. Clinton,01/28/1998 ,01/28/1998 ,66,27,5
William J. Clinton,01/25/1998 ,01/26/1998 ,59,37,4
William J. Clinton,01/24/1998 ,01/25/1998 ,60,35,5
William J. Clinton,01/16/1998 ,01/18/1998 ,59,30,10
William J. Clinton,01/06/1998 ,01/07/1998 ,59,31,9
William J. Clinton,12/18/1997 ,12/21/1997 ,55,36,7
William J. Clinton,11/21/1997 ,11/23/1997 ,60,30,9
William J. Clinton,11/06/1997 ,11/09/1997 ,58,31,9
William J. Clinton,10/27/1997 ,10/29/1997 ,58,32,9
William J. Clinton,10/03/1997 ,10/05/1997 ,55,35,8
William J. Clinton,09/25/1997 ,09/28/1997 ,57,32,9
William J. Clinton,09/06/1997 ,09/07/1997 ,60,27,11
William J. Clinton,08/22/1997 ,08/25/1997 ,60,33,6
William J. Clinton,08/12/1997 ,08/13/1997 ,60,32,7
William J. Clinton,07/25/1997 ,07/27/1997 ,58,34,7
William J. Clinton,06/26/1997 ,06/29/1997 ,55,35,9
William J. Clinton,05/30/1997 ,06/01/1997 ,56,35,8
William J. Clinton,05/06/1997 ,05/07/1997 ,57,35,7
William J. Clinton,04/18/1997 ,04/20/1997 ,54,37,9
William J. Clinton,04/11/1997 ,04/13/1997 ,54,36,9
William J. Clinton,03/24/1997 ,03/26/1997 ,59,35,6
William J. Clinton,02/24/1997 ,02/26/1997 ,56,32,10
William J. Clinton,01/31/1997 ,02/02/1997 ,59,30,9
William J. Clinton,01/10/1997 ,01/13/1997 ,61,30,7
William J. Clinton,01/03/1997 ,01/05/1997 ,57,34,7
William J. Clinton,12/09/1996 ,12/11/1996 ,57,34,8
William J. Clinton,11/21/1996 ,11/24/1996 ,57,34,7
William J. Clinton,10/25/1996 ,10/27/1996 ,54,36,9
William J. Clinton,10/01/1996 ,10/02/1996 ,58,34,8
William J. Clinton,08/30/1996 ,09/01/1996 ,60,33,7
William J. Clinton,08/23/1996 ,08/25/1996 ,52,39,8
William J. Clinton,08/16/1996 ,08/18/1996 ,52,39,9
William J. Clinton,08/05/1996 ,08/07/1996 ,57,36,6
